,Bucket,Campaign Name,Income FY21,Income FY20
0,1: Individual Giving,Sponsor a Scholar,12420.45,25213.95
2,1: Individual Giving,Appeal - June,9641.0,25295.0
8,1: Individual Giving,Benefit dinner tickets,1919.1,2898.02
9,1: Individual Giving,Benefit dinner individual donations,7596.29,654.11
10,1: Individual Giving,Benefit dinner auction,9808.13,0.0
12,1: Individual Giving,Events - not recurring,309.3,2920.0
13,1: Individual Giving,Events - Ecuador,0.0,1213.6
14,1: Individual Giving,Birthdays and weddings,1667.52,6049.31
15,1: Individual Giving,Unsolicited Gifts,5178.48,30005.66
16,2: Major Donors,Benefit dinner sponsorships (5),3000.0,47000.0
18,3: Grants,Grants,750.0,0.0
19,4: Corporations,Benefit dinner sponsorships (1),520.56,0.0
20,4: Corporations,Matching donations (10),2413.26,1769.19
22,5: Earned Revenue,Benefit dinner item sales,514.62,86.44
23,5: Earned Revenue,Pura Vida sales,5.0,5.0
24,5: Earned Revenue,Dream Book sales,0.0,0.0
25,5: Earned Revenue,Popsocket sales,0.0,0.0
26,5: Earned Revenue,Photo sales,0.0,40.0
27,5: Earned Revenue,Speaking events,0.0,414.0
28,5: Earned Revenue,Amazon Smile,32.35,192.33
29,5: Earned Revenue,CafePress,0.0,0.0
30,5: Earned Revenue,Goodshop,0.0,0.0
